rule_id,rule_name,matched,correct,precision
afc59746,PsoriasisNailPitting,1,1,1.0
f57367ee,PsoriasisPalmarPlantar,0,0,0.0
cc31a3fe,VaricoseVeins_ExplicitVeinDescription,2,2,1.0
8c6d45ad,Psoriasis_ThickenedCracksPalmsSoles,0,0,0.0
31fd4216,VaricoseVeins_Comprehensive,1,1,1.0
0dc87572,Psoriasis_SilverDusting,0,0,0.0
f9300ec8,VaricoseVeins_VeinProminenceSwelling,2,2,1.0
4ac1d6fc,PsoriasisNailDentsPits,1,1,1.0
66df7b23,VaricoseVeins_ExplicitVeinSymptoms,2,2,1.0
f46d37cd,VV_DirectVeinSigns,2,2,1.0
f226b11c,PsoriasisSilverScales,1,1,1.0
dbbaa873,VaricoseVeins_LegCrampsPainActivity,7,7,1.0
5cfa6ad3,PsoriasisEnvironmentalFactors,0,0,0.0
c09aa87e,Psoriasis_FingersNailsPeelingCracks,0,0,0.0
977724cc,Psoriasis_ThickCrackedPalmsSoles,0,0,0.0
535a6292,VaricoseVeins_ActivityTriggeredLegPain,0,0,0.0
e4ded2cc,PsoriasisSilverDustingScales,2,2,1.0
ad89f8b5,VaricoseVeins_LegCramps,4,4,1.0
e171b4d1,PsoriasisNailSymptoms,1,1,1.0
75063977,PsoriasisPalmSolesCracks,0,0,0.0
4cb40514,PsoriasisSkinPeelingFlaking,2,2,1.0
e970a4e2,VaricoseVeins_LegSwellingOverweight,7,7,1.0
a36fc74d,Psoriasis_FissuresCracksPalmsSoles,0,0,0.0
41c10a9a,Psoriasis_NailJoint,1,1,1.0
386b52eb,VaricoseVeins_LegCrampsSwellingOverweight,0,0,0.0
ca114bab,PsoriasisPeelingFissuresThickenedSkin,3,3,1.0
500bb9f7,VaricoseVeins_LegSwelling,3,3,1.0
4d5e87cb,PsoriasisSkinFlakingLocation,5,5,1.0
2466271c,PsoriasisJointSkinCombo,1,1,1.0
387d8e01,VV_LegSymptomsActivityObesity,2,2,1.0
5a5a5dad,PsoriasisJointAndSkinSymptoms,1,1,1.0
61e0fcef,VaricoseVeins_LegSkinInflammationWithContext,0,0,0.0
bcc577a8,Psoriasis_ScalyRashJointPain,1,1,1.0
2041e746,Psoriasis_SkinConditionBodyPart,3,3,1.0
32a4d618,VaricoseVeins_LegSwellingFunctionalDifficulty,1,1,1.0
c8f33360,PsoriasisJointPainSkinRash,1,1,1.0
6e1210b1,VaricoseVeins_LegPainActivity,0,0,0.0
9c074bcd,PsoriasisGeneralSymptomsAndEnvironment,2,2,1.0
538eb651,VaricoseVeins_LegBruisesOrBodyImage,1,1,1.0
6e1a59bd,Psoriasis_PeelingScalyGeneral,3,3,1.0
826b388a,Psoriasis_RashSymptoms,1,1,1.0
